Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-03360000002,02/20/2017,2554,Hy-Vee Food Store / Davenport,3019 Rockingham Road,Davenport,52802,POINT (-90.620725 41.510523),82,SCOTT,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,10548,Black Velvet Toasted Caramel,6,1750,12.99,19.49,6,116.94,10.50,2.77
INV-03275800045,02/15/2017,5106,Barnes Food Land,622 10th  St,DeWitt,52742,POINT (-90.540132 41.825139),23,CLINTON,1062400,Spiced Rum,260,DIAGEO AMERICAS,43334,Captain Morgan Spiced Rum,24,375,5.00,7.50,1,7.50,0.38,0.10
INV-03292900003,02/15/2017,4652,Brady Mart Food & Liquor,"3107, Brady St",Davenport,52803,POINT (-90.569719 41.55216),82,SCOTT,1031100,American Vodkas,300,McCormick Distilling Co.,36903,Mccormick Vodka,48,200,1.13,1.70,48,81.60,9.60,2.54
INV-03320700079,02/16/2017,2595,Hy-Vee Wine and Spirits / Denison,"1620  4th Ave, South",Denison,51442,POINT (-95.348601 42.012395),24,CRAWFORD,1031200,American Flavored Vodka,380,Phillips Beverage,42002,Uv Cake Vodka Mini,6,500,4.89,7.34,6,44.04,3.00,0.79
INV-03367900002,02/20/2017,3705,Liquor Locker,507 1st Ave #100,Rock Rapids,51246,,60,LYON,1012100,Canadian Whiskies,434,LUXCO INC,913647,Lord Calvert Canadian Whiskey,12,750,5.00,7.50,48,360.00,36.00,9.51
INV-03269500137,02/14/2017,2572,Hy-Vee Food Store / Cedar Falls,6301 University,Cedar Falls,50613,POINT (-92.435236 42.512789),7,BLACK HAWK,1062200,White Rum,451,SERRALLES USA,43426,Don Q Cristal Rum,12,750,6.50,9.75,2,19.50,1.50,0.40
INV-03376500020,02/21/2017,3651,Wal-Mart 1491 / Indianola,1500 North Jefferson,Indianola,50125,,91,WARREN,1071100,Cocktails /RTD,395,PROXIMO,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.74,13.11,6,78.66,10.50,2.77
INV-03338100044,02/17/2017,5245,Phillips 66,"1516, SE  1st St",Des Moines,50315,POINT (-93.613469 41.57592900000001),77,POLK,1051100,American Brandies,205,E & J Gallo Winery,52596,E & J Vs,12,750,6.00,9.00,1,9.00,0.75,0.20
INV-03328800023,02/17/2017,4545,FILL R UP,14151 Wabash Ave,Council Bluffs,51503,POINT (-95.81790900000001 41.220431),78,POTTAWATTA,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,30.00,45.00,3,133.74,9.00,2.38
INV-03298500063,02/15/2017,2508,Hy-Vee Food Store #1 / Cedar Rapids,"1843 Johnson Avenue, N.W.",Cedar Rapids,52405,POINT (-91.697941 41.97447),57,LINN,1012400,Irish Whiskies,395,PROXIMO,15526,Bushmills Black Bush Irish Whiskey,12,750,20.90,31.35,2,62.70,1.50,0.40
INV-03322000019,02/16/2017,3831,The Market Of Madrid,301 Annex Rd,Madrid,50156,POINT (-93.815365 41.87894000000001),8,BOONE,1062400,Spiced Rum,260,DIAGEO AMERICAS,43296,Captain Morgan Silver Spiced Rum,12,750,9.00,13.50,2,27.00,1.50,0.40
