,county,land_area,population,under_5,5_to_9,10_to_14,15_to_19,20_to_24,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,over_84,median_age,male_median_age,female_median_age,pop_over_21,male_over_21,female_over_21,white,black,american_indian,asian,hawaiian_pacific_islander,other_race,multiple_races,latinx,head_of_household,has_child,average_HH_size,owned_housing,rented_housing
66,union,1097235730,12534,829,813,826,867,705,737,661,710,658,897,916,866,782,605,498,425,355,384,40.9,39.3,42.8,9028,4301,4727,12144,89,39,60,3,125,41,166,2593,2665,2.31,9085,3097
67,mills,1132956394,15059,958,1055,1098,1050,615,749,828,933,978,1220,1292,1208,1052,620,484,352,292,275,41.2,40.5,41.9,10766,5335,5431,14639,57,49,55,10,165,54,290,3354,3460,2.58,11754,2697
68,wayne,1360874542,6403,399,435,391,441,289,333,270,310,313,511,493,434,366,370,290,267,222,269,45.3,44.1,46.5,4673,2264,2409,6275,18,12,18,1,48,18,40,1431,1391,2.38,5092,1220
69,monona,1797638295,9243,501,564,586,583,345,415,410,460,460,699,759,706,565,557,449,414,363,407,47.5,46.2,48.7,6940,3339,3601,8972,33,97,20,4,90,24,78,1988,1842,2.23,6971,2072
70,harrison,1804827800,14928,928,926,1040,1047,639,703,766,902,897,1215,1247,1057,902,735,587,482,378,477,42.9,41.7,44.1,10867,5300,5567,14658,25,43,42,0,126,67,112,3385,3296,2.45,11692,2953
71,lucas,1115231642,8898,548,576,621,627,381,388,443,450,513,653,699,675,530,473,395,344,270,312,44.1,42.3,45.7,6450,3133,3317,8769,17,16,15,3,54,18,70,2021,1961,2.39,7228,1592
72,emmet,1025333118,10302,660,642,602,876,611,574,555,523,519,677,782,753,589,455,415,352,327,390,41.0,38.9,43.3,7346,3626,3720,9591,65,69,44,1,158,28,589,2130,2099,2.3,7614,2148
73,polk,1486121332,430640,32816,30863,29445,27808,28867,35237,32261,29631,29894,30903,29396,25835,21139,14374,10376,8302,6779,6714,34.7,33.7,35.6,304047,146494,157553,364895,25853,1384,15220,254,10405,1253,25143,82125,100707,2.48,307321,113963
74,buchanan,1478934897,20958,1566,1588,1571,1403,1070,1181,1179,1167,1283,1558,1600,1361,1226,899,771,562,479,494,39.0,37.5,40.4,14618,7137,7481,20505,67,32,90,1,227,71,160,4685,5212,2.53,16842,3773
75,chickasaw,1306338733,12439,822,832,784,837,554,642,602,633,708,910,1056,933,750,623,552,416,390,395,43.7,42.3,45.3,9058,4488,4570,12119,41,10,40,0,60,19,244,2937,2866,2.36,10167,2089
76,des moines,1077754850,40325,2638,2556,2570,2546,2041,2474,2300,2273,2398,2938,2990,2927,2578,1980,1549,1301,1081,1185,41.5,40.1,43.0,29570,14093,15477,36704,2048,99,290,21,931,163,815,8063,8355,2.33,29817,9823
77,cass,1461450856,13956,923,852,847,841,623,730,705,717,718,1055,1120,1032,869,730,697,532,473,492,45.1,42.8,46.8,10358,4949,5409,13636,35,28,30,45,86,32,189,3159,2940,2.28,10171,3481
78,allamakee,1655214493,14330,945,894,882,920,699,732,710,717,834,1045,1127,1078,944,794,637,515,430,427,44.0,42.6,45.5,10554,5337,5217,13750,113,36,34,17,88,24,523,3227,3120,2.39,10972,3026
79,madison,1452999410,15679,1099,1225,1242,1005,589,720,964,1034,1124,1213,1174,1115,854,671,553,403,315,379,39.8,38.9,40.7,11000,5340,5660,15376,46,28,51,1,138,42,137,3752,3994,2.57,12549,2938
80,cerro gordo,1471923432,44151,2543,2484,2754,3021,2410,2601,2345,2269,2537,3377,3653,3481,2757,1994,1734,1506,1356,1329,43.3,41.0,45.4,32791,15639,17152,41964,578,91,377,9,716,129,1391,9204,8743,2.22,32154,10839
81,fayette,1892791345,20880,1263,1180,1347,1582,1290,1030,1024,979,1229,1529,1657,1494,1221,1044,927,778,612,694,43.2,41.4,45.0,15183,7455,7728,20253,198,21,107,15,193,50,283,4569,4363,2.33,15464,4634
82,bremer,1127880105,24276,1414,1460,1539,2104,2000,1197,1283,1337,1454,1602,1692,1565,1437,1191,962,734,585,720,39.3,37.8,40.7,17205,8304,8901,23601,191,16,174,2,231,47,161,5612,5230,2.4,18631,3927
83,tama,1867411117,17767,1111,1215,1328,1296,806,880,889,948,1169,1246,1332,1240,1033,834,727,629,496,588,41.8,40.8,42.7,12665,6138,6527,15373,60,1327,46,4,451,215,1225,3926,3999,2.5,13781,3587
84,osceola,1032587437,6462,401,405,409,419,307,316,353,335,387,473,597,444,340,316,276,255,204,225,43.5,41.9,45.6,4767,2355,2412,6149,18,21,19,5,50,15,364,1520,1395,2.37,5108,1242
85,henry,1124904348,20145,1170,1259,1390,1376,1254,1214,1136,1213,1326,1478,1485,1322,1294,883,743,553,500,549,40.2,38.5,41.9,14674,7435,7239,18557,447,61,461,22,323,79,509,4131,4273,2.43,14188,4403
86,poweshiek,1514967877,18914,1007,1099,1118,1587,1729,924,875,923,1066,1282,1426,1248,1142,909,757,621,549,652,41.0,39.2,42.7,13580,6542,7038,17957,220,50,260,21,259,44,308,3939,3685,2.29,12912,4375
87,hancock,1478894985,11341,684,722,760,698,457,611,586,582,594,916,949,904,712,537,490,391,336,412,44.8,43.3,46.2,8380,4113,4267,10957,56,16,47,1,106,30,345,2695,2499,2.35,9054,2102
88,winneshiek,1786750121,21056,1081,1164,1226,2058,2292,946,946,924,1195,1482,1651,1396,1148,874,810,644,593,626,39.4,38.3,40.5,14859,7347,7512,20347,133,13,226,4,160,31,283,4470,4091,2.35,15003,3765
89,jones,1490851138,20638,1210,1255,1271,1303,967,1150,1260,1192,1350,1723,1596,1540,1265,940,806,666,559,585,42.7,41.7,43.9,15412,8042,7370,19901,408,49,90,2,123,35,191,4517,4366,2.36,15311,4023
90,pocahontas,1495047042,7310,431,410,420,456,299,345,309,311,382,610,661,578,481,374,387,288,260,308,47.6,46.5,48.6,5526,2713,2813,7126,26,12,12,10,79,12,130,1730,1442,2.22,5842,1327
91,greene,1475188829,9336,520,584,638,608,382,472,432,430,521,707,777,719,595,451,433,352,324,391,45.6,43.0,47.6,6908,3324,3584,9108,26,25,30,3,62,26,113,2083,1991,2.3,7111,2083
92,louisa,1040569636,11387,672,811,898,820,535,661,664,656,751,946,862,777,630,493,414,300,284,213,39.8,38.7,41.0,8055,4043,4012,10272,60,33,102,8,173,26,1639,2430,2598,2.59,8968,2303
93,wapello,1118443326,35625,2361,2238,2131,2509,2315,2172,2151,2040,2119,2451,2699,2529,2054,1583,1257,1152,914,950,39.8,38.0,41.6,25867,12461,13406,32802,482,176,254,48,551,128,2395,6963,7057,2.39,26188,8570
94,lee,1340366450,35862,2078,2084,2280,2371,1940,2036,2027,2005,2213,2731,2872,2768,2379,1808,1263,1078,925,1004,42.6,40.8,44.4,26668,13368,13300,33537,1118,68,183,11,694,165,935,7232,7030,2.35,26243,8025
95,story,1483592867,89542,4803,4462,4197,9609,18846,7445,5324,4205,4132,4508,4827,4720,3519,2509,2001,1611,1331,1493,26.7,25.6,28.2,61492,31791,29701,79344,2196,163,5383,20,1518,233,1665,15291,15097,2.34,48018,33350
96,grundy,1299805924,12453,786,791,819,842,533,630,657,720,747,916,990,892,788,574,542,419,388,419,43.0,41.0,44.8,9108,4412,4696,12269,28,4,27,7,87,24,90,3089,2812,2.4,10430,1869
97,pottawattamie,2461213949,93158,6318,6243,6102,6699,5845,5961,5586,5537,5748,7000,7068,6492,5226,3905,3017,2492,2028,1891,38.5,37.0,40.0,66496,32065,34431,86558,1267,441,570,27,1770,407,4929,17838,19690,2.48,64331,26751
98,howard,1225706425,9566,690,650,642,629,423,527,542,447,561,714,752,652,490,467,366,348,305,361,42.1,40.9,43.6,6870,3372,3498,9380,25,10,24,7,81,19,73,2101,2282,2.37,7655,1698
